,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
180,Beograd Opština Novi Beograd Blok 44 (TC Piramida) Nehruova ,168,5.0,VI,8,240000,1429,Premium,04.02.2021.,Agencija
181,Beograd Opština Savski venac Beograd na vodi Hercegovačka ,54,2.0,I,23,180000,3333,Premium,04.02.2021.,Agencija
182,Beograd Opština Vračar Crveni krst Vardarska ,49,2.0,VPR,4,120000,2449,Premium,04.02.2021.,Agencija
183,Beograd Opština Vračar Crveni krst Kajmakčalanska ,99,3.0,IV,5,225000,2273,Premium,04.02.2021.,Agencija
184,Beograd Opština Stari grad Knez Mihailova Cika Ljubina ,105,3.0,V,5,310000,2952,Premium,04.02.2021.,Agencija
185,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,120,3.5,,,279900,2332,Premium,04.02.2021.,Agencija
186,Beograd Opština Voždovac Lekino brdo Mažuranićeva br.10 ,32,1.5,PR,4,60000,1875,Premium,04.02.2021.,Vlasnik
187,Beograd Opština Vračar Crveni krst ,58,2.5,III,7,133400,2300,Premium,04.02.2021.,Agencija
188,Beograd Opština Novi Beograd Ledine 11 April ,54,2.5,PR,3,64800,1200,Premium,04.02.2021.,Investitor
189,Beograd Opština Savski venac Beograd na vodi Hercegovačka ,139,4.0,XV,23,662000,4763,Premium,04.02.2021.,Agencija
190,Beograd Opština Zvezdara Lion Vranjska ,59,2.0,XV,15,114900,1947,Premium,04.02.2021.,Vlasnik
191,Beograd Opština Savski venac Stadion Crvene zvezde Ljutice Bogdana ,38,2.0,IV,10,92000,2421,Premium,04.02.2021.,Agencija
192,Beograd Opština Zvezdara Bulevar kralja Aleksandra Krfska ,73,3.0,I,5,146000,2000,Premium,04.02.2021.,Agencija
193,Beograd Opština Vračar Cvetni trg Krunska ,109,4.0,II,5,350000,3211,Premium,04.02.2021.,Agencija
194,Beograd Opština Vračar Cvetni trg Njegoševa ,70,3.0,I,4,190000,2714,Premium,04.02.2021.,Agencija
195,Beograd Opština Voždovac Voždovačka crkva Jove Ilica ,64,2.5,VPR,4,128000,2000,Premium,03.02.2021.,Agencija
196,Beograd Opština Zvezdara Konjarnik Ustanička ,55,2.5,VI,7,96250,1750,Premium,03.02.2021.,Agencija
