,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
0,Beograd Opština Zvezdara Konjarnik Ustanička ,55,3.0,VI,7,90000,1636,Premium,13.02.2021.,Agencija
1,Beograd Opština Zvezdara Konjarnik Ustanička ,51,2.0,VII,7,71000,1392,Premium,09.02.2021.,Agencija
2,Beograd Opština Zvezdara Konjarnik Ustanička ,45,1.5,VII,7,66000,1467,Premium,09.02.2021.,Agencija
3,Beograd Opština Zemun Ćukovac Stevana Dukića ,54,2.0,I,3,105900,1961,Premium,16.02.2021.,Agencija
4,Beograd Opština Stari grad Takovska Takovska ,66,2.0,IV,6,127500,1932,Premium,12.02.2021.,Agencija
5,Beograd Opština Vračar Neimar Janka Veselinovića ,104,3.0,II,5,270000,2596,Premium,16.02.2021.,Vlasnik
6,Beograd Opština Savski venac Beograd na vodi Metropolitan ,108,4.5,XIV,17,389000,3602,Premium,16.02.2021.,Vlasnik
7,Beograd Opština Zvezdara Konjarnik Ustanička ,55,2.5,VI,7,91000,1655,Premium,03.02.2021.,Agencija
8,Beograd Opština Savski venac Dedinje Mokranjčeva ,7834,3.0,III,4,172348,2200,Premium,16.02.2021.,Investitor
9,Beograd Opština Voždovac Banjica Bulevar oslobodjenja ,72,1.5,V,5,68000,944,Premium,16.02.2021.,Agencija
10,Beograd Opština Novi Beograd Blok 22 Milentija Popovića ,80,3.0,IV,6,154000,1925,Premium,16.02.2021.,Agencija
11,Beograd Opština Stari grad Atelje 212 Svetogorska ,137,4.0,,,286000,2088,Premium,16.02.2021.,Agencija
12,Beograd Opština Savski venac Centar Kralja Milutina  ,96,3.5,I,4,185000,1927,Premium,16.02.2021.,Agencija
13,Beograd Opština Savski venac Beograd na vodi ,54,2.0,II,8,155888,2887,Premium,16.02.2021.,Agencija
14,Beograd Opština Zvezdara Mirijevo Matice Srpske ,55,1.5,VII,8,65000,1182,Premium,16.02.2021.,Agencija
15,Beograd Opština Zvezdara Denkova bašta Krizaniceva 12 ,105,3.5,IV,4,220000,2095,Premium,16.02.2021.,Investitor
16,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,75,2.0,V,8,130000,1733,Premium,16.02.2021.,Agencija
17,Beograd Opština Savski venac Beograd na vodi Hercegovačka ,57,2.0,XII,23,185000,3246,Premium,16.02.2021.,Agencija
18,Beograd Opština Stari grad Trg Republike despota stefana ,130,4.0,I,6,297000,2285,Premium,11.02.2021.,Agencija
19,Beograd Opština Stari grad Dorćol Carigradska ,98,3.0,II,5,265000,2704,Premium,16.02.2021.,Agencija
20,Beograd Opština Zvezdara Konjarnik Ustanička ,55,3.0,VI,7,90000,1636,Premium,13.02.2021.,Agencija
21,Beograd Opština Zvezdara Konjarnik Ustanička ,51,2.0,VII,7,71000,1392,Premium,09.02.2021.,Agencija
22,Beograd Opština Zvezdara Konjarnik Ustanička ,45,1.5,VII,7,66000,1467,Premium,09.02.2021.,Agencija
23,Beograd Opština Zemun Ćukovac Stevana Dukića ,54,2.0,I,3,105900,1961,Premium,16.02.2021.,Agencija
24,Beograd Opština Stari grad Takovska Takovska ,66,2.0,IV,6,127500,1932,Premium,12.02.2021.,Agencija
25,Beograd Opština Vračar Neimar Janka Veselinovića ,104,3.0,II,5,270000,2596,Premium,16.02.2021.,Vlasnik
26,Beograd Opština Savski venac Beograd na vodi Metropolitan ,108,4.5,XIV,17,389000,3602,Premium,16.02.2021.,Vlasnik
27,Beograd Opština Zvezdara Konjarnik Ustanička ,55,2.5,VI,7,91000,1655,Premium,03.02.2021.,Agencija
28,Beograd Opština Savski venac Dedinje Mokranjčeva ,7834,3.0,III,4,172348,2200,Premium,16.02.2021.,Investitor
29,Beograd Opština Voždovac Banjica Bulevar oslobodjenja ,72,1.5,V,5,68000,944,Premium,16.02.2021.,Agencija
30,Beograd Opština Novi Beograd Blok 22 Milentija Popovića ,80,3.0,IV,6,154000,1925,Premium,16.02.2021.,Agencija
31,Beograd Opština Stari grad Atelje 212 Svetogorska ,137,4.0,,,286000,2088,Premium,16.02.2021.,Agencija
32,Beograd Opština Savski venac Centar Kralja Milutina  ,96,3.5,I,4,185000,1927,Premium,16.02.2021.,Agencija
33,Beograd Opština Savski venac Beograd na vodi ,54,2.0,II,8,155888,2887,Premium,16.02.2021.,Agencija
34,Beograd Opština Zvezdara Mirijevo Matice Srpske ,55,1.5,VII,8,65000,1182,Premium,16.02.2021.,Agencija
35,Beograd Opština Zvezdara Denkova bašta Krizaniceva 12 ,105,3.5,IV,4,220000,2095,Premium,16.02.2021.,Investitor
36,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,75,2.0,V,8,130000,1733,Premium,16.02.2021.,Agencija
37,Beograd Opština Savski venac Beograd na vodi Hercegovačka ,57,2.0,XII,23,185000,3246,Premium,16.02.2021.,Agencija
38,Beograd Opština Stari grad Trg Republike despota stefana ,130,4.0,I,6,297000,2285,Premium,11.02.2021.,Agencija
39,Beograd Opština Stari grad Dorćol Carigradska ,98,3.0,II,5,265000,2704,Premium,16.02.2021.,Agencija
40,Beograd Opština Vračar Cvetni trg Njegoševa ,70,3.0,I,4,200000,2857,Premium,16.02.2021.,Agencija
41,Beograd Opština Vračar Krunska Krunska ,100,4.0,V,6,230000,2300,Premium,16.02.2021.,Agencija
42,Beograd Opština Vračar Cvetni trg Krunska ,109,4.0,II,5,350000,3211,Premium,16.02.2021.,Agencija
43,Beograd Opština Vračar Krunska Krunska ,182,5.0,I,5,495000,2720,Premium,16.02.2021.,Agencija
44,Beograd Opština Novi Beograd Blok 67 (Belvil) ,120,3.0,,,280000,2333,Premium,16.02.2021.,Vlasnik
45,Beograd Opština Zemun Cara Dušana Cara Dusana 122 ,55,2.0,II,3,93500,1700,Premium,16.02.2021.,Investitor
46,Beograd Opština Zvezdara Cvetkova pijaca Živka Davidovića  ,5967,2.0,V,5,106213,1780,Premium,15.02.2021.,Investitor
47,Beograd Opština Vračar Crveni krst Vardarska ,49,2.0,VPR,4,117000,2388,Premium,15.02.2021.,Agencija
48,Beograd Opština Stari grad Centar Drinčićeva ,47,1.5,I,4,115900,2466,Premium,15.02.2021.,Agencija
49,Beograd Opština Novi Beograd Blok 67 (Belvil) Bulevar Crvene Armije ,103,4.0,X,13,284900,2766,Premium,15.02.2021.,Agencija
50,Beograd Opština Zvezdara Zvezdarska šuma Dragiše Lapčevića ,195,4.0,VPR,1,340000,1744,Premium,08.02.2021.,Agencija
51,Beograd Opština Novi Beograd Blok 67a (A blok) Jurija Gagarina ,96,3.0,VI,9,300000,3125,Premium,15.02.2021.,Agencija
52,Beograd Opština Novi Beograd Blok 22 Bulevar Arsenija Čarnojevića ,71,2.5,I,6,100000,1408,Premium,15.02.2021.,Agencija
53,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,98,3.0,V,9,179000,1827,Premium,15.02.2021.,Agencija
54,Beograd Opština Novi Beograd Blok 70a agostina neta 42 ,66,2.0,IV,8,115000,1742,Premium,14.02.2021.,Vlasnik
55,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,101,4.0,III,10,230000,2277,Premium,14.02.2021.,Agencija
