,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
56,Beograd Opština Zvezdara Mirijevo Dragoslava Srejovica ,41,1.5,I,3,65000,1585,Premium,14.02.2021.,Vlasnik
57,Beograd Opština Vračar Crveni krst ,107,4.0,V,6,288900,2700,Premium,14.02.2021.,Agencija
58,Beograd Opština Novi Beograd Bežanijska kosa 2 Marka Čelebonovića ,102,3.5,II,6,161000,1578,Premium,11.02.2021.,Vlasnik
59,Beograd Opština Zvezdara Zvezdarska šuma Krfska  ,73,3.0,I,5,144000,1973,Premium,14.02.2021.,Agencija
60,Beograd Opština Vračar Cvetni trg Resavska ,113,4.5,V,6,290000,2566,Premium,14.02.2021.,Agencija
61,Beograd Opština Rakovica Centar Konstantina Babića ,45,2.0,II,3,47000,1044,Premium,13.02.2021.,Agencija
62,Beograd Opština Voždovac Lekino brdo Veselina Masleše 51 ,98,2.5,II,5,176400,1800,Premium,13.02.2021.,Investitor
63,Beograd Opština Zvezdara Cvetkova pijaca Podujevska br 19 ,45,2.5,II,5,84150,1870,Premium,13.02.2021.,Investitor
64,Beograd Opština Savski venac Senjak Kuršumlijska 3 ,10053,3.0,I,3,271431,2700,Premium,13.02.2021.,Investitor
65,Beograd Opština Zvezdara Bulevar kralja Aleksandra ,82,3.0,VPR,8,145000,1768,Premium,13.02.2021.,Vlasnik
66,Beograd Opština Novi Beograd Tošin bunar ,13006,5.0,VII,7,312144,2400,Premium,13.02.2021.,Investitor
67,Beograd Opština Novi Beograd Tošin bunar ,4157,1.5,II,7,83971,2020,Premium,13.02.2021.,Investitor
68,Beograd Opština Novi Beograd Tošin bunar ,9701,4.0,III,7,197900,2040,Premium,13.02.2021.,Investitor
69,Beograd Opština Novi Beograd Tošin bunar ,7596,3.0,V,7,167112,2200,Premium,13.02.2021.,Investitor
70,Beograd Opština Zvezdara Đeram pijaca Bulevar kralja Aleksandra ,62,2.5,II,5,143000,2306,Premium,13.02.2021.,Agencija
71,Beograd Opština Rakovica Miljakovac Čelebićka ,63,2.0,PR,5,58500,929,Premium,13.02.2021.,Agencija
72,Beograd Opština Vračar Kalenić pijaca Koče kapetana ,63,2.5,III,4,171000,2714,Premium,13.02.2021.,Agencija
73,Beograd Opština Voždovac Banjica Stojana Ljubica 19 V ,6226,2.5,I,4,65000,1044,Premium,13.02.2021.,Investitor
74,Beograd Opština Voždovac Vojvode Stepe Vojvode Stepe ,44,1.5,PR,5,84900,1930,Premium,12.02.2021.,Agencija
75,Beograd Opština Stari grad Studentski trg Kapetan Mišina ,67,2.0,PR,5,180900,2700,Premium,12.02.2021.,Agencija
76,Beograd Opština Novi Beograd Stari Merkator Palmira Toljatija ,77,3.0,VPR,5,129000,1675,Premium,12.02.2021.,Vlasnik
77,Beograd Opština Novi Beograd Blok 62 Jurija Gagarina ,72,2.5,I,7,122500,1701,Premium,12.02.2021.,Agencija
78,Beograd Opština Stari grad Dorćol Bulevar Vojvode Bojovića ,60,2.0,II,7,174000,2900,Premium,12.02.2021.,Agencija
79,Beograd Opština Čukarica Žarkovo Belog bagrema I Rajka Ruzica ,2768,0.5,I,4,44288,1600,Premium,12.02.2021.,Investitor
80,Beograd Opština Zemun Gardoš Starca Vujadina ,47,2.0,VI,7,119500,2543,Premium,12.02.2021.,Vlasnik
81,Beograd Opština Voždovac Kumodraška ,119,4.0,VPR,4,220150,1850,Premium,12.02.2021.,Agencija
82,Beograd Opština Savski venac Beograd na vodi Hercegovačka ,89,3.0,XXIII,23,340000,3820,Premium,12.02.2021.,Agencija
83,Beograd Opština Novi Beograd Blok 28 ,62,2.0,,,112500,1815,Premium,03.02.2021.,Agencija
84,Beograd Opština Zemun Save Kovačevića Ohridska ,54,2.0,II,11,80000,1481,Premium,12.02.2021.,Agencija
85,Beograd Opština Zvezdara Vukov Spomenik Vojvode Bogdana ,104,4.0,VI,7,258950,2490,Premium,03.02.2021.,Agencija
86,Beograd Opština Zvezdara Vukov Spomenik Vojvode Bogdana ,71,3.0,II,7,180438,2541,Premium,03.02.2021.,Agencija
87,Beograd Opština Vračar Kalenić pijaca Novopazarska ,37,2.0,I,4,98500,2662,Premium,12.02.2021.,Vlasnik
88,Beograd Opština Voždovac Saobraćajni fakultet Vojvode Stepe 310 ,9285,4.0,,,190900,2056,Premium,12.02.2021.,Investitor
89,Beograd Opština Zemun Gornji grad Banijska ,45,1.5,II,6,85050,1890,Premium,12.02.2021.,Agencija
90,Beograd Opština Zemun Gornji grad Banijska ,58,2.5,I,6,104400,1800,Premium,12.02.2021.,Agencija
91,Beograd Opština Voždovac Saobraćajni fakultet Vojvode Stepe 310 ,4909,2.0,,,115067,2344,Premium,12.02.2021.,Investitor
92,Beograd Opština Voždovac Saobraćajni fakultet Vojvode Stepe 310 ,12071,4.0,,,226814,1879,Premium,12.02.2021.,Investitor
93,Beograd Opština Novi Beograd Ledine OPLENAČKA 8-10-12-14 ,32,1.5,I,2,41568,1299,Premium,07.02.2021.,Investitor
94,Beograd Opština Voždovac Saobraćajni fakultet Vojvode Stepe 310 ,7043,3.0,,,139874,1986,Premium,12.02.2021.,Investitor
95,Beograd Opština Palilula Bogoslovija Višnjička ,5250,2.0,I,5,89400,1703,Premium,12.02.2021.,Vlasnik
96,Beograd Opština Novi Beograd Blok 45 (TC Enjub) Jurija Gagarina ,50,1.5,XII,13,97000,1940,Premium,12.02.2021.,Vlasnik
97,Beograd Opština Novi Beograd Blok 67a (A blok) Jurija Gagarina ,72,2.5,,,208000,2889,Premium,12.02.2021.,Agencija
98,Beograd Opština Vračar Kalenić pijaca Hadži Ruvimova ,90,3.0,III,6,207000,2300,Premium,08.02.2021.,Agencija
99,Beograd Opština Voždovac Hotel M Mosorska ,355,5,VPR,3,495000,1394,Premium,08.02.2021.,Agencija
100,Beograd Opština Savski venac Beograd na vodi Hercegovačka ,88,3.0,III,24,325000,3693,Premium,08.02.2021.,Agencija
101,Beograd Opština Rakovica Vidikovac Konstantina Babica 5 ,45,2.0,II,5,47000,1044,Premium,11.02.2021.,Vlasnik
102,Beograd Opština Voždovac Kumodraška ,78,3.0,,,144300,1850,Premium,11.02.2021.,Agencija
103,Beograd Opština Vračar Crveni krst  ,99,3.0,IV,5,225000,2273,Premium,11.02.2021.,Agencija
104,Beograd Opština Novi Beograd Hotel Jugoslavija Bulevar Nikole Tesle  ,58,2.5,VPR,4,133000,2293,Premium,11.02.2021.,Agencija
105,Beograd Opština Zvezdara Lion Radoja Domanovića ,63,2.0,I,8,118000,1873,Premium,11.02.2021.,Agencija
106,Beograd Opština Čukarica Cerak vinogradi Lipa ,47,1.0,,,64000,1362,Premium,11.02.2021.,Vlasnik
107,Beograd Opština Stari grad Dorćol Budimska ,61,2.5,I,6,195000,3197,Premium,11.02.2021.,Agencija
108,Beograd Opština Zvezdara Dimitrija Tucovića Dimitrija Tucovića 48 ,9850,4.0,VI,7,206000,2091,Premium,11.02.2021.,Investitor
109,Beograd Opština Novi Beograd Blok 67a (A blok) Uroša Martinovića ,80,3.0,III,7,219000,2738,Premium,10.02.2021.,Agencija
110,Beograd Opština Vračar Crveni krst Cara Nikolaja drugog ,62,2.0,IV,5,124000,2000,Premium,10.02.2021.,Agencija
111,Beograd Opština Čukarica Čukarička padina Stevana Đurđevića Trošarinca ,28,1.0,III,7,54900,1961,Premium,10.02.2021.,Agencija
112,Beograd Opština Palilula Karaburma Kamčatska ,31,0.5,I,5,47000,1516,Premium,10.02.2021.,Agencija
113,Beograd Opština Vračar Crveni krst Starca Vujadina ,51,2.5,III,4,102900,2018,Premium,10.02.2021.,Agencija
114,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,120,3.0,X,10,280000,2333,Premium,10.02.2021.,Agencija
115,Beograd Opština Voždovac Autokomanda Jove Ilića ,90,4.0,IV,5,240000,2667,Premium,10.02.2021.,Agencija
116,Beograd Opština Vračar Crveni krst Kajmakčalanska ,170,4.0,VI,6,500000,2941,Premium,10.02.2021.,Agencija
117,Beograd Opština Voždovac Dušanovac Danielova ,52,2.5,I,3,92000,1769,Premium,10.02.2021.,Vlasnik
118,Beograd Opština Palilula Cvijićeva Cvijićeva ,55,3.0,I,9,132000,2400,Premium,10.02.2021.,Agencija
119,Beograd Opština Palilula Cvijićeva Cvijićeva ,41,1.5,I,9,94300,2300,Premium,10.02.2021.,Agencija
120,Beograd Opština Palilula Cvijićeva Cvijićeva ,57,2.5,I,9,136800,2400,Premium,10.02.2021.,Agencija
121,Beograd Opština Zemun Donji grad Petra Kočića 14 ,8433,4.0,VPR,8,166000,1968,Premium,10.02.2021.,Investitor
122,Beograd Opština Palilula Cvijićeva Cvijićeva ,101,4.0,I,9,252500,2500,Premium,10.02.2021.,Agencija
123,Beograd Opština Vračar Bulevar kralja Aleksandra Bulevar kralja Aleksandra ,62,2.5,II,5,143000,2306,Premium,10.02.2021.,Agencija
124,Beograd Opština Novi Beograd Blok 67 (Belvil) Đorđa Stanojevića ,103,4.0,VIII,13,288400,2800,Premium,10.02.2021.,Agencija
125,Beograd Opština Stari grad Centar Simina ,27,1.5,I,4,92000,3407,Premium,09.02.2021.,Agencija
126,Beograd Opština Novi Beograd Arena Antifašističke borbe ,86,3.0,II,6,197800,2300,Premium,10.02.2021.,Agencija
127,Beograd Opština Stari grad Kalemegdan Cara Uroša ,63,2.5,II,5,167000,2651,Premium,10.02.2021.,Agencija
128,Beograd Opština Novi Beograd Bežanijska kosa 2 Ljubinke Bobić ,89,2.0,V,7,145000,1629,Premium,10.02.2021.,Vlasnik
129,Beograd Opština Stari grad Centar Zmaja od Noćaja ,66,2.0,VI,6,183000,2773,Premium,10.02.2021.,Agencija
130,Beograd Opština Vračar Kalenić pijaca Hadži Ruvimova ,87,4.0,VIII,10,210000,2414,Premium,10.02.2021.,Vlasnik
131,Beograd Opština Stari grad Dorćol  Kralja Petra ,85,4.0,I,7,204000,2400,Premium,10.02.2021.,Agencija
132,Beograd Opština Novi Beograd Hotel Jugoslavija Klare Cetkin ,47,1.5,VPR,5,119900,2551,Premium,10.02.2021.,Vlasnik
133,Beograd Opština Vračar Južni bulevar Gospodara Vucica ,89,3.0,I,5,184000,2067,Premium,10.02.2021.,Agencija
134,Beograd Opština Novi Beograd Blok 67a (A blok) Uroša Martinovića ,56,2.0,II,6,162000,2893,Premium,10.02.2021.,Agencija
135,Beograd Opština Palilula Tašmajdan 27. marta ,90,4.0,VI,17,203000,2256,Premium,10.02.2021.,Agencija
136,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,101,3.5,III,10,230000,2277,Premium,10.02.2021.,Agencija
137,Beograd Opština Vračar Hram svetog Save Svetog Save ,97,3.0,II,3,195000,2010,Premium,09.02.2021.,Agencija
138,Beograd Opština Voždovac Braće Jerković Vojvode Vlahovića br. 55v ,7664,3.0,I,5,99630,1300,Premium,09.02.2021.,Investitor
139,Beograd Opština Grocka Kaluđerica Vojvode Stepe Stepanovića br.52 ,3715,1.5,I,4,40850,1100,Premium,09.02.2021.,Investitor
140,Beograd Opština Zvezdara Đeram pijaca Vojvode Savatija ,100,3.0,VII,8,232000,2320,Premium,09.02.2021.,Agencija
141,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11  ,5593,2.0,I,3,92284,1650,Premium,09.02.2021.,Agencija
142,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11 ,7804,3.0,VPR,3,113058,1449,Premium,09.02.2021.,Agencija
143,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11 ,9959,3.0,III,3,175278,1760,Premium,09.02.2021.,Agencija
144,Beograd Opština Zvezdara Učiteljsko naselje Paje Jovanovica 11 ,6099,2.0,I,3,100633,1650,Premium,09.02.2021.,Agencija
145,Beograd Opština Zvezdara Vukov Spomenik Čelopečka ,70,3.0,I,4,135000,1929,Premium,09.02.2021.,Agencija
146,Beograd Opština Voždovac FON - Bilećka Koste Jovanovića ,62,3.0,II,3,148500,2395,Premium,03.02.2021.,Agencija
147,Beograd Opština Voždovac Trošarina Joakima Rakovca ,89,3.5,II,3,165000,1854,Premium,03.02.2021.,Agencija
148,Beograd Opština Vračar Krunska ,30,1.0,I,5,86000,2867,Premium,04.02.2021.,Agencija
149,Beograd Opština Voždovac Hotel M ,60,3.0,III,3,120000,2000,Premium,04.02.2021.,Agencija
150,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,120,3.5,,,280000,2333,Premium,04.02.2021.,Agencija
151,Beograd Opština Stari grad Obilićev venac Obilićev venac ,84,3.0,VPR,5,250000,2976,Premium,09.02.2021.,Agencija
152,Beograd Opština Novi Beograd Blok 62 Dušana Vukasovića ,45,1.0,I,5,77000,1711,Premium,09.02.2021.,Agencija
153,Beograd Opština Novi Beograd Blok 62 Jurija Gagarina ,63,2.5,IV,14,107000,1698,Premium,09.02.2021.,Agencija
154,Beograd Opština Novi Beograd Hotel Jugoslavija Karađorđev trg ,60,2.0,,,99000,1650,Premium,09.02.2021.,Agencija
155,Beograd Opština Zemun Donji grad Petra Kočića ,12744,5.0,VIII,8,246570,1935,Premium,09.02.2021.,Investitor
156,Beograd Opština Zemun Donji grad Petra Kočića ,10650,4.0,VIII,8,209272,1965,Premium,09.02.2021.,Investitor
157,Beograd Opština Voždovac Autokomanda Bulevar oslobođenja ,138,3.0,II,3,300000,2174,Premium,09.02.2021.,Agencija
158,Beograd Opština Zvezdara Severni bulevar Milete Jakšića ,6037,4.0,VPR,4,133000,2203,Premium,09.02.2021.,Agencija
159,Beograd Opština Zvezdara Severni bulevar Milete Jakšića ,7723,3.0,II,4,166850,2160,Premium,04.02.2021.,Agencija
160,Beograd Opština Zvezdara Severni bulevar Milete Jakšića ,5788,3.0,III,4,125550,2169,Premium,04.02.2021.,Agencija
161,Beograd Opština Zvezdara Severni bulevar Milete Jakšića ,8206,3.0,IV,4,180400,2198,Premium,04.02.2021.,Agencija
162,Beograd Opština Rakovica Kneževac 17.oktobra ,76,3.0,PR,3,72999,961,Premium,09.02.2021.,Vlasnik
163,Beograd Opština Palilula Hadžipopovac Ljube Didića 16 ,91,4.0,II,4,191000,2099,Premium,09.02.2021.,Vlasnik
164,Beograd Opština Novi Beograd Hotel Jugoslavija Gramšijeva ,57,2.0,PR,6,150404,2639,Premium,09.02.2021.,Agencija
165,Beograd Opština Novi Beograd Hotel Jugoslavija Gramšijeva ,71,3.0,I,6,200654,2826,Premium,09.02.2021.,Agencija
166,Beograd Opština Zvezdara Đeram pijaca Vojvode Brane ,134,3.0,VPR,5,170000,1269,Premium,05.02.2021.,Agencija
167,Beograd Opština Zemun Retenzija Palmira Toljatija ,47,1.5,VPR,5,95000,2021,Premium,08.02.2021.,Agencija
168,Beograd Opština Zemun Altina Ugrinovacki put ,53,2.5,PR,3,58300,1100,Premium,08.02.2021.,Investitor
169,Beograd Opština Zemun Altina Ugrinovacki put ,66,3.5,II,3,72600,1100,Premium,08.02.2021.,Investitor
170,Beograd Opština Stari grad Centar Čika Ljubina ,100,4.0,,,310000,3100,Premium,08.02.2021.,Agencija
171,Beograd Opština Savski venac Dedinje Velisava Vulovica ,141,4.0,I,3,390000,2766,Premium,08.02.2021.,Agencija
172,Beograd Opština Novi Beograd Blok 34 (Carina - Studentski grad) Bulevar Arsenija Čarnojevića ,86,3.0,V,6,200000,2326,Premium,08.02.2021.,Agencija
173,Beograd Opština Stari grad Skupština Kosovska ,170,5,,,500000,2941,Premium,08.02.2021.,Agencija
174,Beograd Opština Savski venac Dedinje Mihaila Avramovića ,90,3.0,III,3,214500,2383,Premium,08.02.2021.,Agencija
175,Beograd Opština Voždovac Lekino brdo Todora Dukina ,90,3.0,IV,4,155000,1722,Premium,07.02.2021.,Vlasnik
176,Beograd Opština Novi Beograd Tošin bunar ,5941,2.0,VI,7,133672,2250,Premium,06.02.2021.,Investitor
177,Beograd Opština Novi Beograd Blok 28 Španskih boraca ,82,3.0,I,5,139900,1706,Premium,05.02.2021.,Agencija
178,Beograd Opština Voždovac Autokomanda Borisavljevićeva ,75,3.0,III,4,156750,2090,Premium,05.02.2021.,Agencija
179,Beograd Opština Novi Beograd Blok 65 Omladinskih brigada ,125,3.0,III,7,358000,2864,Premium,05.02.2021.,Agencija
180,Beograd Opština Voždovac Lekino brdo ,63,3.0,,,135250,2147,Premium,05.02.2021.,Agencija
181,Beograd Opština Stari grad Dorćol Kralja Petra  ,85,3.0,I,7,204000,2400,Premium,05.02.2021.,Agencija
182,Beograd Opština Voždovac Kumodraška ,75,4.0,I,4,138750,1850,Premium,05.02.2021.,Agencija
183,Beograd Opština Novi Beograd Bežanijska kosa 2 Ismeta Mujezinovića ,85,3.5,II,5,127000,1494,Premium,05.02.2021.,Agencija
184,Beograd Opština Savski venac Senjak Senjačka ,122,3.5,II,2,263000,2156,Premium,05.02.2021.,Agencija
185,Beograd Opština Vračar Crveni krst ,61,3.0,III,7,146400,2400,Premium,05.02.2021.,Agencija
186,Beograd Opština Zemun Centar Masarikov trg ,40,1.0,I,1,72000,1800,Premium,05.02.2021.,Agencija
187,Beograd Opština Zemun Gornji grad Bosanska ,45,2.0,II,3,73500,1633,Premium,04.02.2021.,Agencija
188,Beograd Opština Stari grad Centar Obilićev venac ,200,5,I,5,580000,2900,Premium,04.02.2021.,Agencija
189,Beograd Opština Zemun Kej Kej oslobođenja ,109,4.0,VPR,2,220000,2018,Premium,04.02.2021.,Agencija
190,Beograd Opština Novi Beograd Arena Antifašističke borbe ,53,2.0,V,7,111000,2094,Premium,04.02.2021.,Agencija
191,Beograd Opština Novi Beograd Blok 67a (A blok) Jurija Gagarina ,70,3.0,VIII,13,230000,3286,Premium,04.02.2021.,Agencija
192,Beograd Opština Zvezdara Lion Koste Abraševića ,55,2.0,II,4,118500,2155,Premium,04.02.2021.,Agencija
193,Beograd Opština Novi Beograd Blok 44 (TC Piramida) Nehruova ,168,5.0,VI,8,240000,1429,Premium,04.02.2021.,Agencija
194,Beograd Opština Savski venac Beograd na vodi Hercegovačka ,54,2.0,I,23,180000,3333,Premium,04.02.2021.,Agencija
195,Beograd Opština Stari grad Knez Mihailova Cika Ljubina ,105,3.0,V,5,310000,2952,Premium,04.02.2021.,Agencija
196,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,120,3.5,,,279900,2332,Premium,04.02.2021.,Agencija
197,Beograd Opština Vračar Crveni krst ,58,2.5,III,7,133400,2300,Premium,04.02.2021.,Agencija
198,Beograd Opština Zvezdara Lion Vranjska ,59,2.0,XV,15,114900,1947,Premium,04.02.2021.,Vlasnik
199,Beograd Opština Voždovac Voždovačka crkva Jove Ilica ,64,2.5,VPR,4,128000,2000,Premium,03.02.2021.,Agencija
200,Beograd Opština Voždovac Vitanovačka ,78,3.0,VPR,4,136500,1750,Premium,03.02.2021.,Agencija
201,Beograd Opština Savski venac Lisičji potok ,155,4.0,,,410000,2645,Premium,03.02.2021.,Agencija
202,Beograd Opština Voždovac Lekino brdo ,66,3.0,II,3,139500,2114,Premium,03.02.2021.,Agencija
203,Beograd Opština Vračar Kalenić pijaca Hadzi Djerina ,70,2.0,II,5,152000,2171,Premium,03.02.2021.,Agencija
204,Beograd Opština Voždovac Centar ,81,3.0,II,4,170000,2099,Premium,03.02.2021.,Agencija
205,Beograd Opština Vračar Južni bulevar Sime Igumanova ,150,5.0,VI,6,375000,2500,Premium,03.02.2021.,Agencija
206,Beograd Opština Novi Beograd Bežanijska kosa 1 Stojana Aralice ,141,5.0,IV,4,225000,1596,Premium,03.02.2021.,Vlasnik
207,Beograd Opština Zemun Gornji grad Banijska ,85,3.5,V,6,160650,1890,Premium,03.02.2021.,Agencija
208,Beograd Opština Novi Beograd Tošin bunar Tošin bunar ,7603,2.5,IV,10,165700,2179,Premium,03.02.2021.,Agencija
209,Beograd Opština Stari grad Kopitareva gradina Šafarikova ,60,2.0,II,3,168000,2800,Premium,03.02.2021.,Agencija
210,Beograd Opština Novi Beograd Blok 62 Jurija Gagarina ,7158,2.5,I,7,122500,1711,Premium,02.02.2021.,Vlasnik
211,Beograd Opština Stari grad Centar Svetogorska ,35,2.0,XI,13,104000,2971,Premium,02.02.2021.,Agencija
212,Beograd Opština Novi Beograd Blok 70 (kineski tržni centar) Omladinskih Brigada ,70,2.0,II,4,123000,1757,Premium,02.02.2021.,Agencija
213,Beograd Opština Zvezdara Severni bulevar veljka dugosevica ,11422,3.0,I,3,215800,1889,Premium,02.02.2021.,Investitor
